ID,Source,Tag_Code,Tag_Name,Title,Url
1,Lobsters,vcs,Git & VCS,"Debian Janitor: > 60,000 Lintian Tags Automatically Fixed",https://www.jelmer.uk/janitor-update-3.html
2,Lobsters,vcs,Git & VCS,Ignoring mass reformatting commits with git blame,https://akrabat.com/ignoring-revisions-with-git-blame/
3,Lobsters,vcs,Git & VCS,gitoxide: pure rust implementation of git,https://github.com/Byron/gitoxide
4,Lobsters,vcs,Git & VCS,git branch --delete master,https://danso.ca/blog/git-branch-delete/
5,Lobsters,vcs,Git & VCS,Highlights from Git 2.28,https://github.blog/2020-07-27-highlights-from-git-2-28/
6,Lobsters,vcs,Git & VCS,One year of automatic DB migrations from git,https://abe-winter.github.io/2020/08/03/yr-of-git.html
7,Lobsters,vcs,Git & VCS,Security questions regarding the Git project I'm working on,/s/ffohlz/security_questions_regarding_git
8,Lobsters,vcs,Git & VCS,Git-tagup: A Tool to Find & Tag Git Commits Based on Version Numbers in Commit Messages,https://initialcommit.com/projects/git-tagup
9,Lobsters,vcs,Git & VCS,gitqlite is a tool for running SQL queries on git repositories,https://github.com/augmentable-dev/gitqlite
10,Lobsters,vcs,Git & VCS,Manage your dotfiles with Git,https://news.opensuse.org/2020/03/27/Manage-dotfiles-with-Git/
11,Lobsters,vcs,Git & VCS,git commit accepts several message flags (-m) to allow multiline commits,https://www.stefanjudis.com/today-i-learned/git-commit-accepts-several-message-flags-m-to-allow-multiline-commits/
12,Lobsters,vcs,Git & VCS,git-assembler: update git branches using high-level instructions,https://www.thregr.org/~wavexx/software/git-assembler/
13,Lobsters,vcs,Git & VCS,Building Subversion,https://corecursive.com/054-software-that-doesnt-suck/
14,Lobsters,vcs,Git & VCS,"ydiff: side-by-side, character-level diffs in the terminal",https://github.com/joshuarli/ydiff#joshuarlis-ydiff-fork
15,Lobsters,vcs,Git & VCS,Suggested improvements for a tool that generates a GIF per author from the Git commit log?,/s/0zxoap/suggested_improvements_for_tool
16,Lobsters,vcs,Git & VCS,Better git diff outputs with git submodules,https://www.jvt.me/posts/2018/05/04/git-submodule-diff-formats/
17,Lobsters,vcs,Git & VCS,Did Github Change Their Repo Interface?,https://github.com/awesome-selfhosted/awesome-selfhosted
18,Lobsters,vcs,Git & VCS,What % Of GitHub Commit Messages Use The Imperative Mood?,https://initialcommit.io/blog/Git-Commit-Message-Imperative-Mood
19,Lobsters,vcs,Git & VCS,Stacked Pull Requests: Keeping GitHub Diffs Small (2016),https://unhashable.com/stacked-pull-requests-keeping-github-diffs-small/
20,Lobsters,vcs,Git & VCS,Using Google BigQuery to identify the most popular initial commit message in Git,https://initialcommit.io/blog/What-Is-The-Most-Popular-Initial-Commit-Message-In-Git
21,Lobsters,vcs,Git & VCS,Easily rename your Git default branch from master to main,https://www.hanselman.com/blog/EasilyRenameYourGitDefaultBranchFromMasterToMain.aspx
22,Lobsters,vcs,Git & VCS,Speeding up a Git monorepo at Dropbox with <200 lines of code,https://dropbox.tech/application/speeding-up-a-git-monorepo-at-dropbox-with--200-lines-of-code
23,Lobsters,vcs,Git & VCS,How to Hide Whitespace Changes in Git Diffs,https://cloudfour.com/thinks/quick-tip-how-to-hide-whitespace-changes-in-git-diffs/
